"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMBUJACEM","EQ","11-Apr-2022","        337.35","        338.45","        369.50","        338.30","        364.20","        360.20","        358.50","   30662312","         10992569551.50","     277497","    7074154","         23.07"
"AMBUJACEM","EQ","12-Apr-2022","        360.20","        364.00","        371.60","        355.75","        358.00","        359.65","        362.27","   19884358","          7203441716.00","     196499","    5852680","         29.43"
"AMBUJACEM","EQ","13-Apr-2022","        359.65","        359.95","        374.20","        359.00","        369.00","        369.20","        368.02","   17817591","          6557229580.45","     164916","    4411015","         24.76"
"AMBUJACEM","EQ","18-Apr-2022","        369.20","        369.00","        379.65","        360.50","        365.10","        363.40","        366.36","   10936057","          4006540313.60","     114572","    3709987","         33.92"
"AMBUJACEM","EQ","19-Apr-2022","        363.40","        366.75","        370.00","        351.00","        352.00","        354.25","        359.32","    9971239","          3582899868.10","     124351","    3735715","         37.46"
"AMBUJACEM","EQ","20-Apr-2022","        354.25","        355.00","        375.80","        355.00","        375.00","        371.30","        367.31","   13525255","          4967969268.00","     125395","    4034251","         29.83"
"AMBUJACEM","EQ","21-Apr-2022","        371.30","        378.90","        384.35","        374.80","        378.10","        377.35","        379.20","   14385266","          5454873962.65","     153070","    2769534","         19.25"
"AMBUJACEM","EQ","22-Apr-2022","        377.35","        378.00","        381.00","        371.05","        375.00","        374.20","        375.79","    5946333","          2234589849.50","      62853","    1359730","         22.87"
"AMBUJACEM","EQ","25-Apr-2022","        374.20","        371.80","        387.60","        370.00","        378.95","        376.35","        381.63","   12835090","          4898296452.15","     148656","    2872921","         22.38"
"AMBUJACEM","EQ","26-Apr-2022","        376.35","        382.00","        391.00","        381.30","        385.00","        385.15","        385.18","   11192640","          4311235696.85","     119429","    4316257","         38.56"
"AMBUJACEM","EQ","27-Apr-2022","        385.15","        385.00","        387.70","        376.25","        385.00","        384.55","        382.60","   11121579","          4255138388.30","     124869","    4125293","         37.09"
"AMBUJACEM","EQ","28-Apr-2022","        384.55","        389.90","        389.90","        380.45","        384.80","        383.35","        384.68","    7163762","          2755747283.95","      69127","    2505448","         34.97"
"AMBUJACEM","EQ","29-Apr-2022","        383.35","        384.70","        385.50","        370.75","        372.00","        372.20","        377.76","   10529413","          3977632085.55","      86885","    4534682","         43.07"
"AMBUJACEM","EQ","02-May-2022","        372.20","        371.60","        380.50","        368.75","        376.85","        378.15","        376.70","    5959678","          2245021327.65","      64005","    1591126","         26.70"
"AMBUJACEM","EQ","04-May-2022","        378.15","        379.55","        382.00","        364.65","        369.00","        368.10","        371.77","    5415006","          2013149771.35","      90293","    1951512","         36.04"
"AMBUJACEM","EQ","05-May-2022","        368.10","        371.00","        375.35","        364.95","        368.00","        366.35","        370.50","    5794511","          2146866766.85","      68751","    2313988","         39.93"
"AMBUJACEM","EQ","06-May-2022","        366.35","        360.55","        372.35","        360.55","        365.55","        365.40","        366.85","    5868878","          2153018926.90","      66036","    1542090","         26.28"
"AMBUJACEM","EQ","09-May-2022","        365.40","        363.35","        369.00","        359.45","        366.00","        366.75","        364.78","    3690073","          1346059813.75","      41297","     794880","         21.54"
"AMBUJACEM","EQ","10-May-2022","        366.75","        368.55","        373.90","        355.00","        356.00","        358.20","        365.78","    6322735","          2312728668.30","      93084","    2343713","         37.07"
"AMBUJACEM","EQ","11-May-2022","        358.20","        360.00","        365.80","        351.20","        359.90","        359.05","        358.11","    5728451","          2051389070.85","      58016","    1895670","         33.09"
"AMBUJACEM","EQ","12-May-2022","        359.05","        356.85","        382.00","        349.30","        374.00","        373.55","        362.67","    7493279","          2717610573.30","      64751","    2584061","         34.49"
"AMBUJACEM","EQ","13-May-2022","        373.55","        378.00","        378.55","        356.10","        358.30","        359.10","        361.80","   10195371","          3688710560.40","     109911","    2173132","         21.31"
