"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","20-Apr-2022","       2991.20","       2991.30","       3089.50","       2980.00","       3080.05","       3083.00","       3050.13","     838182","          2556564462.65","      68212","     343436","         40.97"
"ASIANPAINT","EQ","21-Apr-2022","       3083.00","       3089.80","       3174.40","       3086.05","       3150.05","       3158.25","       3150.18","    1069035","          3367651382.75","      85589","     497191","         46.51"
"ASIANPAINT","EQ","22-Apr-2022","       3158.25","       3121.50","       3173.30","       3113.25","       3161.00","       3164.40","       3151.40","     681191","          2146704513.20","      48633","     359392","         52.76"
"ASIANPAINT","EQ","25-Apr-2022","       3164.40","       3134.00","       3155.10","       3095.10","       3131.35","       3130.60","       3125.39","    1096774","          3427844264.50","      80416","     674222","         61.47"
"ASIANPAINT","EQ","26-Apr-2022","       3130.60","       3130.00","       3148.70","       3105.80","       3125.40","       3125.65","       3124.70","    1703441","          5322744328.95","      88071","    1204690","         70.72"
"ASIANPAINT","EQ","27-Apr-2022","       3125.65","       3096.00","       3164.00","       3085.95","       3145.00","       3148.35","       3132.94","     963536","          3018698286.10","      72900","     471956","         48.98"
"ASIANPAINT","EQ","28-Apr-2022","       3148.35","       3190.00","       3268.00","       3170.00","       3242.80","       3247.70","       3234.30","    2001838","          6474540862.75","     131049","     924887","         46.20"
"ASIANPAINT","EQ","29-Apr-2022","       3247.70","       3249.00","       3278.00","       3221.30","       3239.30","       3237.20","       3252.57","    1088970","          3541955687.70","      79149","     522329","         47.97"
"ASIANPAINT","EQ","02-May-2022","       3237.20","       3195.00","       3211.50","       3154.05","       3199.85","       3200.00","       3184.18","     595522","          1896246489.30","      60098","     237597","         39.90"
"ASIANPAINT","EQ","04-May-2022","       3200.00","       3178.00","       3194.70","       3081.45","       3101.75","       3100.85","       3135.30","    1120002","          3511543114.30","      90624","     588927","         52.58"
"ASIANPAINT","EQ","05-May-2022","       3100.85","       3104.75","       3126.95","       3070.00","       3081.30","       3076.55","       3101.03","     724601","          2247005829.90","      53774","     325569","         44.93"
"ASIANPAINT","EQ","06-May-2022","       3076.55","       3020.00","       3052.40","       3003.90","       3024.90","       3016.25","       3029.39","     923941","          2798979859.45","      78029","     477345","         51.66"
"ASIANPAINT","EQ","09-May-2022","       3016.25","       3000.85","       3038.80","       2975.00","       3031.00","       3005.25","       2994.14","     998324","          2989123029.45","      94795","     471488","         47.23"
"ASIANPAINT","EQ","10-May-2022","       3005.25","       3051.00","       3138.75","       3036.00","       3091.00","       3086.35","       3081.20","    2460016","          7579812535.90","     163123","     488297","         19.85"
"ASIANPAINT","EQ","11-May-2022","       3086.35","       3090.40","       3109.55","       2979.00","       3056.50","       3053.65","       3031.19","    1883969","          5710671314.85","     137584","     644331","         34.20"
"ASIANPAINT","EQ","12-May-2022","       3053.65","       3042.00","       3078.00","       2988.00","       3046.85","       3039.95","       3039.28","    1254245","          3811996647.85","      91074","     589784","         47.02"
"ASIANPAINT","EQ","13-May-2022","       3039.95","       3074.40","       3116.25","       3035.30","       3068.60","       3064.00","       3077.04","    1121729","          3451609492.55","     100475","     543048","         48.41"
